id,name,total_pop,median_income
1,Alabama,4830620,43623
2,Alaska,733375,72515
4,Arizona,6641928,50255
5,Arkansas,2958208,41371
6,California,38421464,61818
8,Colorado,5278906,60629
9,Connecticut,3593222,70331
10,Delaware,926454,60509
11,District of Columbia,647484,70848
12,Florida,19645772,47507
13,Georgia,10006693,49620
15,Hawaii,1406299,69515
16,Idaho,1616547,47583
17,Illinois,12873761,57574
18,Indiana,6568645,49255
19,Iowa,3093526,53183
20,Kansas,2892987,52205
21,Kentucky,4397353,43740
22,Louisiana,4625253,45047
23,Maine,1329100,49331
24,Maryland,5930538,74551
25,Massachusetts,6705586,68563
26,Michigan,9900571,49576
27,Minnesota,5419171,61492
28,Mississippi,2988081,39665
29,Missouri,6045448,48173
30,Montana,1014699,47169
31,Nebraska,1869365,52997
32,Nevada,2798636,51847
33,New Hampshire,1324201,66779
34,New Jersey,8904413,72093
35,New Mexico,2084117,44963
36,New York,19673174,59269
37,North Carolina,9845333,46868
38,North Dakota,721640,57181
39,Ohio,11575977,49429
40,Oklahoma,3849733,46879
41,Oregon,3939233,51243
42,Pennsylvania,12779559,53599
44,Rhode Island,1053661,56852
45,South Carolina,4777576,45483
46,South Dakota,843190,50957
47,Tennessee,6499615,45219
48,Texas,26538614,53207
49,Utah,2903379,60727
50,Vermont,626604,55176
51,Virginia,8256630,65015
53,Washington,6985464,61062
54,West Virginia,1851420,41751
55,Wisconsin,5742117,53357
56,Wyoming,579679,58840
72,Puerto Rico,3583073,19350
